sentiment,category
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
0.0,nonprofit
1.0,nonprofit
1.0,nonprofit
0.0,nonprofit
0.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
-0.9994,nonprofit
0.7799,nonprofit
0.3666,nonprofit
0.7799,nonprofit
0.7783,nonprofit
0.9118,nonprofit
0.9537,nonprofit
